objectid,filename,youtubeid,title,creator,date,description,subject,location,source,link,identifier,type,format,language,rights,rightsstatement
demo_001,https://github.com/J1chii/Archaeology/blob/main/objects/Manunggul_Jar.jpg?raw=true,,Manunggul Jar,Ancient Palawan Potters,890–710 BCE,"In the Tabon Caves of Palawan, the Manunggul Jar is an exceptionally well-known secondary burial jar. The Manunggul Jar is dated to the late Neolithic Period and features an extremely detailed lid that has two human figurines in a boat as they represent a person's journey to the afterlife. The soul's journey to the afterlife represents a person's beliefs regarding spirituality, burial customs, and the skill of early Filipinos as artists, which confirms the importance of the Manunggul Jar as one of the most significant archeological finds in the Philippines.",Burial Practices; Ancient Pottery; Neolithic Philippines; Spiritual Beliefs; Archaeology,"Tabon Caves, Palawan, Philippines",National Museum of the Philippines,,LK-PAL-001,Burial Jar / Ceramic Artifact,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_002,https://historylearning.com/fileadmin/user_upload/Laguna_Copperplate_Inscription.gif?raw=true,,Laguna Copperplate Inscription,Unknown Ancient Filipino Scribe,900 CE,"The Laguna Copperplate Inscription is thought to be the oldest known written record found in the Philippines, dating back to 900 CE. The Laguna Copperplate Inscription has been inscribed onto a flat piece of thin copper and discusses the means by which debts were forgiven in the early political setup as a result of the early organized societies that existed at this time. The Laguna Copperplate Inscription also contains evidence of literacy, trade and cultural links to our neighboring Asian countries. The Laguna Copperplate Inscription serves to establish that organized societies existed long before Spain established itself in the Philippines by showing that pre-hispanic Filipinos had created systems for communication that were quite complex.",Ancient Writing Systems; Philippine History; Pre-colonial Society; Trade; Archaeology,"Laguna, Philippines",National Museum of the Philippines,,LK-LAG-002,Historical Document / Inscription,image/gif,English,For educational use only. Rights belong to respective institutions and sources.,https://historylearning.com/terms-of-use/
demo_003,https://upload.wikimedia.org/wikipedia/commons/b/be/Butuan_Ivory_Seal.jpg?utm_source=en.wikipedia.org&utm_campaign=index&utm_content=thumbnail_unscaled?raw=true,,Butuan Ivory Seal,Butuan Craftsmen,9th–12th century CE,"The Butuan Ivory Seal, a small carving made of ivory found on the excavation site in Butuan, Agusan del Norte, is thought to be an early method of marking documents or goods during trade. This artifact demonstrates the strong involvement of the early Filipinos in trade throughout all of Southwest Asia and the outstanding capabilities for artistry and commerce among those living in the Butuan area.",Trade and Commerce; Ivory Artifacts; Ancient Craftsmanship; Butuan Civilization,"Butuan, Agusan del Norte, Philippines",National Museum of the Philippines,,LK-BUT-003,Ivory Seal / Trade Artifact,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use
demo_004,https://ccp-wagtail-bucket.s3.amazonaws.com/images/V_WORKS_Balanghai_CE_320_1.width-3000.jpg?raw=true,,Balangay Boats ,Ancient Austronesian Boat Builders,320 CE,Balangay Boats are old wood vessels found at Butuan that are recognized as using today's definitions as the earliest examples of marine vessels in the Philippines. These vessels were utilized by the early Filipinos of Austronesian descent as modes of transportatiom or trade to other islands and countries surrounding the Philippines. Each balangay boat was built entirely from nailed-together wooden planks — an engineering marvel — representing the long history of seafaring skills possessed by the early Filipino inhabitants of this region of the world.,Maritime Culture; Boat Building; Austronesian Migration; Trade; Transportation,"Butuan, Agusan del Norte, Philippines",Butuan National Museum,,LK-BUT-004,Boat / Maritime Artifact,image/jpeg,English,Copyright © Cultural Center of the Philippines and respective owners. For educational use only.,https://rightsstatements.org/vocab/InC/1.0/
demo_005,https://ccp-wagtail-bucket.s3.amazonaws.com/images/V_WORKS_Golden_Tara_1.width-3000.jpg?raw=true,,Golden Tara,Ancient Agusan Goldsmiths,13th–14th century CE,"The Golden Tara is an ancient gold statue that was found in Agusan; it is thought to depict a Hindu-Buddhist deity from the period before the Spanish had colonized the Philippines. This artifact is made from high-purity gold, which is a testament to the cultural and religious influences of early trade between India and Southeast Asian societies. The design of this statue exhibits the skillful craftsmanship of goldsmiths in the Philippines long ago and offers evidence of the thriving spiritual and artistic heritages that existed prior to colonization.",Gold Artifacts; Hindu-Buddhist Influence; Religion; Pre-colonial Philippines; Goldsmithing,"Agusan del Sur, Philippines",Field Museum of Natural History,,LK-AGS-005,Gold Statue / Religious Artifact,image/jpeg,English,Copyright © Cultural Center of the Philippines and respective owners. For educational use only.,https://rightsstatements.org/vocab/InC/1.0/
demo_006,https://images.esquiremag.ph/esquiremagph/images/2024/05/19/1gold-1716121914.jpg?raw=true,,Surigao Treasure ,Pre-colonial Filipino Goldsmiths,10th–13th century CE,"The Surigao Treasure consists of many ancient gold ornaments, jewelry items, belts and ceremony objects, which were all found in Surigao del Sur. These artifacts emanate from before the period of Spanish colonization and illustrate the affluence, skill of workmanship, and social standing of early Filipino communities. The sophistication of their ornamentation and the use of pure gold demonstrate that the ancient Filipinos possessed a high degree of sophistication in their goldworking techniques and were well connected to other regional trading networks and networks of cultural exchange within Southeast Asia.",Gold Jewelry; Wealth and Status; Ancient Filipino Craftsmanship; Trade; Archaeology,"Surigao del Sur, Philippines",Bangko Sentral ng Pilipinas,,LK-SUR-006,Gold Ornaments / Archaeological Hoard,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://www.esquiremag.ph/terms-of-use?ref=nav_link
demo_007,https://ccp-wagtail-bucket.s3.amazonaws.com/images/V_WORKS_Calatagan_1.width-3000.jpg?raw=true,,Calatagan Pot,Ancient Tagalog Potters,14th–15th century CE,"The Calatagan Pot, a clay burial jar found in Batangas. It has important inscriptions engraved on its exterior surface. The pot may be associated with pre-colonial Philippine burial practices and ancient Filipino writing systems. This represents the spiritual beliefs, languages and everyday life of the Tagalog people in the early Philippines during the time prior to colonialism.",Burial Traditions; Ancient Scripts; Pottery; Pre-colonial Culture; Archaeology,"Calatagan, Batangas, Philippines",National Museum of the Philippines,,LK-BAT-007,Pottery / Inscribed Burial Jar,image/jpeg,English,Copyright © Cultural Center of the Philippines and respective owners. For educational use only.,https://rightsstatements.org/vocab/InC/1.0/
demo_008,"https://wmf.imgix.net/images/98_angono_petroglyphs_centered.jpg?auto=format,compress&fit=max&w=1920?raw=true",,Angono Petroglyphs,Prehistoric Austronesian hunter-gatherers,3000 BCE,"The Angono Petroglyphs are the Philippines' oldest known rock carvings, dating back to the late Neolithic period. More than a hundred stylized human and animal figures have been carved into a rock face at this site, believed to represent early forms of communication, ritual practices, or symbols used for healing by prehistoric communities. This site provides invaluable evidence of the art and culture, spiritual belief system, and everyday life of early Filipinos, prior to the written record in the Philippines.",Rock Art; Prehistoric Philippines; Archaeology; Ancient Symbols; Neolithic Culture,"Binangonan, Rizal, Philippines",National Museum of the Philippines,,LK-ROK-008,Rock Art / Petroglyph,image/jpeg,English,Copyright © World Monuments Fund. All rights reserved.,https://rightsstatements.org/vocab/InC/1.0/
demo_009,https://historylearning.com/fileadmin/_processed_/5/1/csm_640px-Khamantik_2d016711b3.jpg?raw=true,,Kamhantik Limestone Tombs ,Ancient pre-colonial Filipino,900–1000 CE,"The Kamhantik Limestone Tombs, in Mulanay, Quezon Province, are an archaeological site of great significance that includes limestone coffins (burials) cut directly from large blocks of stone, skeletal remains and accompanying burial artifacts. Based on the tombs, archaeologists believe this site represents a well-organized, pre-colonial society that possessed an advanced knowledge of stone carving techniques and burial practices. The presence of these tombs suggests that a successful social structure existed, further defining the complexity and diversity of culture among the ancient communities of southern Luzon.",Burial Practices; Archaeology; Pre-colonial Society; Ancient Structures; Funerary Culture,"Mulanay, Quezon, Philippines",National Museum of the Philippines,,LK-QUE-009,Archaeological Site / Burial Structure,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://historylearning.com/terms-of-use/
demo_010,https://ccp-wagtail-bucket.s3.amazonaws.com/images/V_WORKS_Banton_Burial_Cloth_1.width-3000.jpg?raw=true,,Banton Cloth,Early Visayan weavers,13th–14th century CE,"Banton Cloth, which is one of the earliest existing cloth pieces from the Southeast Asian region, was found within a wooden coffin located in the area known as Banton Island in the Philippines. This cloth is comprised of a number of different types of fiber and is decorated with intricate geometric designs that were made using techniques for dyeing and weaving that resulted in highly skilled workmanship by the early Filipinos and reveal their impressive artistry prior to the arrival of European colonial authorities. Additionally, the Banton Cloth is indicative of the early trade patterns among various cultural groups, provides evidence of how people identified themselves through different methods and ways, and demonstrates how textile-making traditions are an influence on the way in which the culture of weaving in the Philippines has developed over time.",Textile Art; Weaving Traditions; Pre-colonial Philippines; Anthropology; Material Culture,"Banton Island, Romblon, Philippines",National Museum of the Philippines,,LK-ROM-010,Textile / Archaeological Textile,image/jpeg,English,Copyright © Cultural Center of the Philippines and respective owners. For educational use only.,https://rightsstatements.org/vocab/InC/1.0/
